path,guid,existsNow,serializedOwnerCount,serializedOwners,exactTextReferrerCount,exactTextReferrers,deleteAuthorized
Assets/NTSD/Sprite/Character/reaper/reaper_2.bmp,c44059b80fff54a4eb36fcca64ac8add,True,0,,0,,False
Assets/NTSD/Sprite/Character/reaper/reaper_3.bmp,861ff487f3e95d9499b89e8b851001c4,True,0,,0,,False
Assets/NTSD/Sprite/Character/reaper/reaper_4.bmp,300cc8de4909b69469a98b4aa29cee12,True,0,,0,,False
Assets/NTSD/Sprite/Character/reaper/reaper_f.bmp,5532808b89fbaca4a837807de52d13b7,True,0,,0,,False
Assets/NTSD/Sprite/Character/reaper/reaper_s.bmp,d2b61f1d53c783b48940fe187f164ba2,True,0,,0,,False
Assets/NTSD/Sprite/Character/reaper/slashing_reaper.bmp,032c76cad2e072945884f7beafc67107,True,0,,0,,False
Assets/NTSD/Sprite/Character/rock_lee/gaara_2.bmp,021310634d8d1f3499cda2effec5c138,True,0,,0,,False
Assets/NTSD/Sprite/Character/rock_lee/lee_f.bmp,17f31c4c6e9b99c43ac28f154a0ea092,True,0,,0,,False
Assets/NTSD/Sprite/Character/rock_lee/rock_lee.bmp,cc8a0af6a30b0f1498264fc14c1d0a20,True,0,,0,,False
Assets/NTSD/Sprite/Character/rock_lee/rock_lee2.bmp,ff6e1784aead8a540b260c43d2953384,True,0,,0,,False
Assets/NTSD/Sprite/Character/rock_lee/rock_lee_s.bmp,d53645404a83d2345b1457f8bca15c90,True,0,,0,,False
Assets/NTSD/Sprite/Character/sai/sai_0.bmp,87329ffaa12de394ca2f4c42e6251e25,True,0,,0,,False
Assets/NTSD/Sprite/Character/sai/sai_1.bmp,ee7020f11d7195645af4d8c154f18148,True,0,,0,,False
Assets/NTSD/Sprite/Character/sai/sai_bird.bmp,385e156b8987eb341a7a797aa2f3fecc,True,0,,0,,False
Assets/NTSD/Sprite/Character/sai/sai_f.bmp,b26dd5f29a2343141ba7cff6e4e688fe,True,0,,0,,False
Assets/NTSD/Sprite/Character/sai/sai_s.bmp,1fa4393360770a2409753e701f5fa30a,True,0,,0,,False
Assets/NTSD/Sprite/Character/sakon/sakon.bmp,8fe3b740d42e1104290e3135c9643e39,True,0,,0,,False
Assets/NTSD/Sprite/Character/sakon/sakon2.bmp,5afe5e1b74673724fbcdf1f173cdbaa1,True,0,,0,,False
Assets/NTSD/Sprite/Character/sakon/sakon_f.bmp,e629689b34e2cec44a6f6fe96346243e,True,0,,0,,False
Assets/NTSD/Sprite/Character/sakon/sakon_s.bmp,790ead926e44ad2468baac20d164f938,True,0,,0,,False
Assets/NTSD/Sprite/Character/sand_creature/sand_creature.bmp,dea9652d57f5ec940bba4f7d9bd2fa67,True,0,,0,,False
Assets/NTSD/Sprite/Character/sand_creature/sand_creature2.bmp,9ce44556beee00a419aff49b507442ba,True,0,,0,,False
Assets/NTSD/Sprite/Character/sand_creature/sand_f.bmp,7b3dafc3f7a21ad49b9eec15aa30e30f,True,0,,0,,False
Assets/NTSD/Sprite/Character/sand_creature/sand_s.bmp,7fec438d7e4a0c9499f505aaaf159a9e,True,0,,0,,False
Assets/NTSD/Sprite/Character/sasori/sasori.bmp,b59fcb18b5d6e6548b85351e14ba30e2,True,0,,0,,False
Assets/NTSD/Sprite/Character/sasori/sasori_2.bmp,ea95a466ad1a75341b323ff3dc85a702,True,0,,0,,False
Assets/NTSD/Sprite/Character/sasori/sasori_3.bmp,b5ad5febab3ba824083ed38c4a92760d,True,0,,0,,False
Assets/NTSD/Sprite/Character/sasori/sasori_f.bmp,ef9a20820672d984babc5646b6a45bab,True,0,,0,,False
Assets/NTSD/Sprite/Character/sasori/sasori_s.bmp,57bdf23d08701c049b8673f5c8a0946e,True,0,,0,,False
Assets/NTSD/Sprite/Character/sasuke_cs2/deidara_2.bmp,9ab433c515164584380ca128d426a845,True,0,,0,,False
Assets/NTSD/Sprite/Character/sasuke_cs2/sasuke_cs2.bmp,ecaa0c35016ef4e4b8980ccd69d8989b,True,0,,0,,False
Assets/NTSD/Sprite/Character/sasuke_cs2/sasuke_cs2_2.bmp,2fbc167961fba0845b1799c2ea0f6a4a,True,0,,0,,False
Assets/NTSD/Sprite/Character/sasuke_cs2/sasuke_cs2_f.bmp,83eacbb56caf3764d9d7f9ee6ceb5225,True,0,,0,,False
Assets/NTSD/Sprite/Character/sasuke_cs2/sasuke_cs2_s.bmp,c896bf4a97cb5a74193419f6b0302901,True,0,,0,,False
Assets/NTSD/Sprite/Character/shikamaru/shikamaru.bmp,8d3735cac4db3b74089ef14a2dc5a560,True,0,,0,,False
Assets/NTSD/Sprite/Character/shikamaru/shikamaru2.bmp,cc9a0f655e3250a42b742f59b38d2697,True,0,,0,,False
Assets/NTSD/Sprite/Character/shikamaru/shikamaru_f.bmp,7189e26c4e2aeb24db55f775ce8719da,True,0,,0,,False
Assets/NTSD/Sprite/Character/shikamaru/shikamaru_s.bmp,c91d846c0639363428ba42eae84cbb76,True,0,,0,,False
