id	float_bits	strict_int	first_int	strict_valid
r00365	00000000	0	0	0
r00366	00000000	0	0	0
r00367	C0A00000	0	0	0
r00368	C0A00000	0	0	0
r00369	00000000	0	0	0
r00370	C0A00000	0	0	0
r00371	C0A00000	0	0	0
r00372	C0A00000	0	0	0
r00373	00000000	0	0	0
r00374	00000000	0	0	0
r00375	00000000	0	0	0
r00376	00000000	0	0	0
r00377	C0A00000	0	0	0
r00378	C0A00000	0	0	0
r00379	00000000	0	0	0
r00380	C0A00000	0	0	0
r00381	C0A00000	0	0	0
r00382	C0A00000	0	0	0
r00383	00000000	0	0	0
r00384	00000000	0	0	0
r00385	00000000	0	0	0
r00386	00000000	0	0	0
r00387	C0A00000	0	0	0
r00388	C0A00000	0	0	0
r00389	00000000	0	0	0
r00390	00000000	0	0	0
r00391	00000000	0	0	0
r00392	00000000	0	0	0
r00393	00000000	0	0	0
r00394	00000000	0	0	0
r00395	00000000	0	0	0
r00396	00000000	0	0	0
r00397	00000000	0	0	0
r00398	00000000	0	0	0
r00399	00000000	0	0	0
r00400	00000000	0	12	0
r00401	00000000	0	12	0
r00402	00000000	0	12	0
r00403	00000000	0	12	0
r00404	00000000	0	12	0
r00405	00000000	0	12	0
r00406	00000000	0	12	0
r00407	00000000	0	12	0
r00408	00000000	0	12	0
r00409	00000000	0	12	0
r00410	00000000	0	12	0
r00411	00000000	0	12	0
r00412	00000000	0	12	0
r00413	00000000	0	12	0
r00414	00000000	0	12	0
r00415	00000000	0	12	0
r00416	00000000	0	12	0
r00417	00000000	0	12	0
r00418	00000000	0	12	0
r00419	00000000	0	12	0
r00420	00000000	0	12	0
r00421	00000000	0	12	0
r00422	00000000	0	12	0
r00423	00000000	0	12	0
r00424	00000000	0	12	0
r00425	00000000	0	12	0
r00426	00000000	0	12	0
r00427	00000000	0	12	0
r00428	00000000	0	12	0
r00429	00000000	0	12	0
r00430	00000000	0	0	0
r00431	00000000	0	0	0
r00432	00000000	0	0	0
r00433	00000000	0	0	0
r00434	00000000	0	0	0
r00435	00000000	0	0	0
r00436	00000000	0	0	0
r00437	00000000	0	0	0
r00438	00000000	0	0	0
r00439	00000000	0	0	0
r00440	00000000	0	0	0
r00441	00000000	0	0	0
r00442	00000000	0	0	0
r00443	00000000	0	0	0
r00444	00000000	0	0	0
r00445	00000000	0	0	0
r00446	00000000	0	0	0
r00447	00000000	0	0	0
r00448	00000000	0	0	0
r00449	00000000	0	0	0
r00450	00000000	0	0	0
r00451	00000000	0	0	0
r00452	00000000	0	0	0
r00453	00000000	0	0	0
r00454	00000000	0	0	0
r00455	00000000	0	0	0
r00456	00000000	0	0	0
r00457	00000000	0	0	0
r00458	00000000	0	0	0
r00459	00000000	0	0	0
r00460	00000000	0	0	0
r00461	00000000	0	0	0
r00462	00000000	0	0	0
r00463	00000000	0	0	0
r00464	00000000	0	0	0
r00465	00000000	0	0	0
r00466	00000000	0	0	0
r00467	00000000	0	0	0
r00468	00000000	0	0	0
r00469	00000000	0	0	0
r00470	00000000	0	0	0
r00471	00000000	0	0	0
r00472	00000000	0	0	0
r00473	00000000	0	0	0
r00474	00000000	0	0	0
r00475	00000000	0	0	0
r00476	00000000	0	0	0
r00477	00000000	0	0	0
r00478	00000000	0	0	0
r00479	00000000	0	0	0
r00480	3FC00000	0	1	0
r00481	3FC00000	0	1	0
r00482	3FC00000	0	1	0
r00483	00000000	0	1	0
r00484	00000000	0	1	0
r00485	00000000	0	1	0
r00486	00000000	0	1	0
r00487	3FC00000	0	1	0
r00488	3FC00000	0	1	0
r00489	00000000	0	1	0
r00490	3FC00000	0	1	0
r00491	3FC00000	0	1	0
r00492	3FC00000	0	1	0
r00493	00000000	0	1	0
r00494	00000000	0	1	0
r00495	00000000	0	1	0
r00496	00000000	0	1	0
r00497	3FC00000	0	1	0
r00498	3FC00000	0	1	0
r00499	00000000	0	1	0
r00500	3FC00000	0	1	0
r00501	3FC00000	0	1	0
r00502	3FC00000	0	1	0
r00503	00000000	0	1	0
r00504	00000000	0	1	0
r00505	00000000	0	1	0
r00506	00000000	0	1	0
r00507	3FC00000	0	1	0
r00508	3FC00000	0	1	0
r00509	00000000	0	1	0
r00510	3FC00000	0	0	0
r00511	3FC00000	0	0	0
r00512	3FC00000	0	0	0
r00513	00000000	0	0	0
r00514	00000000	0	0	0
r00515	00000000	0	0	0
r00516	00000000	0	0	0
r00517	3FC00000	0	0	0
r00518	3FC00000	0	0	0
r00519	00000000	0	0	0
r00520	3FC00000	0	0	0
r00521	3FC00000	0	0	0
r00522	3FC00000	0	0	0
r00523	00000000	0	0	0
r00524	00000000	0	0	0
r00525	00000000	0	0	0
r00526	00000000	0	0	0
r00527	3FC00000	0	0	0
r00528	3FC00000	0	0	0
r00529	00000000	0	0	0
r00530	3FC00000	0	0	0
r00531	3FC00000	0	0	0
r00532	3FC00000	0	0	0
r00533	00000000	0	0	0
r00534	00000000	0	0	0
r00535	00000000	0	0	0
r00536	00000000	0	0	0
r00537	3FC00000	0	0	0
r00538	3FC00000	0	0	0
r00539	00000000	0	0	0
r00540	3FC00000	0	0	0
r00541	3FC00000	0	0	0
r00542	3FC00000	0	0	0
r00543	00000000	0	0	0
r00544	00000000	0	0	0
r00545	00000000	0	0	0
r00546	00000000	0	0	0
r00547	3FC00000	0	0	0
r00548	3FC00000	0	0	0
r00549	00000000	0	0	0
r00550	00000000	0	0	0
r00551	00000000	0	0	0
r00552	00000000	0	0	0
r00553	00000000	0	0	0
r00554	00000000	0	0	0
r00555	00000000	0	0	0
r00556	00000000	0	0	0
r00557	00000000	0	0	0
r00558	00000000	0	0	0
r00559	00000000	0	0	0
r00560	00000001	0	0	0
r00561	00000001	0	0	0
r00562	00000001	0	0	0
r00563	00000000	0	0	0
r00564	00000000	0	0	0
r00565	00000000	0	0	0
r00566	00000000	0	0	0
r00567	00000001	0	0	0
r00568	00000001	0	0	0
r00569	00000000	0	0	0
r00570	00000001	0	0	0
r00571	00000001	0	0	0
r00572	00000001	0	0	0
r00573	00000000	0	0	0
r00574	00000000	0	0	0
r00575	00000000	0	0	0
r00576	00000000	0	0	0
r00577	00000001	0	0	0
r00578	00000001	0	0	0
r00579	00000000	0	0	0
r00580	00000001	0	0	0
r00581	00000001	0	0	0
r00582	00000001	0	0	0
r00583	00000000	0	0	0
r00584	00000000	0	0	0
r00585	00000000	0	0	0
r00586	00000000	0	0	0
r00587	00000001	0	0	0
r00588	00000001	0	0	0
r00589	00000000	0	0	0
r00590	00000001	0	0	0
r00591	00000001	0	0	0
r00592	00000001	0	0	0
r00593	00000000	0	0	0
r00594	00000000	0	0	0
r00595	00000000	0	0	0
r00596	00000000	0	0	0
r00597	00000001	0	0	0
r00598	00000001	0	0	0
r00599	00000000	0	0	0
r00600	00000001	0	0	0
r00601	00000001	0	0	0
r00602	00000001	0	0	0
r00603	00000000	0	0	0
r00604	00000000	0	0	0
r00605	00000000	0	0	0
r00606	00000000	0	0	0
r00607	00000001	0	0	0
r00608	00000001	0	0	0
r00609	00000000	0	0	0
r00610	00000001	0	0	0
r00611	00000001	0	0	0
r00612	00000001	0	0	0
r00613	00000000	0	0	0
r00614	00000000	0	0	0
r00615	00000000	0	0	0
r00616	00000000	0	0	0
r00617	00000001	0	0	0
r00618	00000001	0	0	0
r00619	00000000	0	0	0
r00620	00000001	0	0	0
r00621	00000001	0	0	0
r00622	00000001	0	0	0
r00623	00000000	0	0	0
r00624	00000000	0	0	0
r00625	00000000	0	0	0
r00626	00000000	0	0	0
r00627	00000001	0	0	0
r00628	00000001	0	0	0
r00629	00000000	0	0	0
r00630	00000000	0	0	0
r00631	00000000	0	0	0
r00632	00000000	0	0	0
r00633	00000000	0	0	0
r00634	00000000	0	0	0
r00635	00000000	0	0	0
r00636	00000000	0	0	0
r00637	00000000	0	0	0
r00638	00000000	0	0	0
r00639	00000000	0	0	0
r00640	41800000	0	0	0
r00641	41800000	0	0	0
r00642	41800000	0	0	0
r00643	00000000	0	0	0
r00644	00000000	0	0	0
r00645	00000000	0	0	0
r00646	00000000	0	0	0
r00647	41800000	0	0	0
r00648	41800000	0	0	0
r00649	00000000	0	0	0
r00650	41800000	0	0	0
r00651	41800000	0	0	0
r00652	41800000	0	0	0
r00653	00000000	0	0	0
r00654	00000000	0	0	0
r00655	00000000	0	0	0
r00656	00000000	0	0	0
r00657	41800000	0	0	0
r00658	41800000	0	0	0
r00659	00000000	0	0	0
r00660	41800000	0	0	0
r00661	41800000	0	0	0
r00662	41800000	0	0	0
r00663	00000000	0	0	0
r00664	00000000	0	0	0
r00665	00000000	0	0	0
r00666	00000000	0	0	0
r00667	41800000	0	0	0
r00668	41800000	0	0	0
r00669	00000000	0	0	0
r00670	41800000	0	0	0
r00671	41800000	0	0	0
r00672	41800000	0	0	0
r00673	00000000	0	0	0
r00674	00000000	0	0	0
r00675	00000000	0	0	0
r00676	00000000	0	0	0
r00677	41800000	0	0	0
r00678	41800000	0	0	0
r00679	00000000	0	0	0
r00680	41800000	0	0	0
r00681	41800000	0	0	0
r00682	41800000	0	0	0
r00683	00000000	0	0	0
r00684	00000000	0	0	0
r00685	00000000	0	0	0
r00686	00000000	0	0	0
r00687	41800000	0	0	0
