path,category,exists,metaExists,guid,sha256,serializedReferrerCount,serializedReferrers,deleteAuthorized
Assets/NTSD/Sprite/UIPanels/BattleHud/Combo_up.png,UIPanels,True,True,202e34ba31d5e814796f6b880f87af61,35E17E2D1FE005909EBD3516B9E2CD5C7184C05BD5303ED82EF971A759BA5232,0,,False
Assets/NTSD/Sprite/UIPanels/BattleHud/Contro_1.png,UIPanels,True,True,27fe2db1f431da54ea47bb87076fee68,EAA8B4C02CC3811E3647EB45043B1D2EE7F2229C5BDEB207DB6176902850B9D5,1,Assets/NTSD/Scene/NTSD_Battle.unity,False
Assets/NTSD/Sprite/UIPanels/BattleHud/Contro_2.png,UIPanels,True,True,3b270b79421cafa488da6858c55d1adc,4382E8214513D2B5B0D11E9B2C07FA51A7C08EE25DB2C13557DC01A1E6631BE3,1,Assets/NTSD/Scene/NTSD_Battle.unity,False
Assets/NTSD/Sprite/UIPanels/BattleHud/DefendBtn.png,UIPanels,True,True,d79b0978bf6ea584b9c8cb3a0fb07650,7E5B1A81BA138B0DC050673DA966A384AA8591AEB9F767F7B93851E1058F4BE4,1,Assets/NTSD/Scene/NTSD_Battle.unity,False
Assets/NTSD/Sprite/UIPanels/BattleHud/Foot/frame_01.png,UIPanels,False,False,,,0,,False
Assets/NTSD/Sprite/UIPanels/BattleHud/Foot/frame_02.png,UIPanels,False,False,,,0,,False
Assets/NTSD/Sprite/UIPanels/BattleHud/Foot/frame_03.png,UIPanels,False,False,,,0,,False
Assets/NTSD/Sprite/UIPanels/BattleHud/Foot/frame_04.png,UIPanels,False,False,,,0,,False
Assets/NTSD/Sprite/UIPanels/BattleHud/Foot/frame_05.png,UIPanels,False,False,,,0,,False
Assets/NTSD/Sprite/UIPanels/BattleHud/Foot/frame_06.png,UIPanels,False,False,,,0,,False
Assets/NTSD/Sprite/UIPanels/BattleHud/HUD-BG.png,UIPanels,True,True,86e788cebde2bcd45bc365438367c189,4ABFA327F143CB3647C9E050AD898189548F99D02E99423EAD62097E2F7D9632,1,Assets/NTSD/Scene/NTSD_Battle.unity,False
Assets/NTSD/Sprite/UIPanels/BattleHud/JumpBtn.png,UIPanels,True,True,6eb12a2d6fc42cc418214d5a37347441,10B7192CC356BD0E387480FD45DCE2DF97A47709B1D783B07B708FE3F67B654A,1,Assets/NTSD/Scene/NTSD_Battle.unity,False
Assets/NTSD/Sprite/UIPanels/BattleHud/naruto_s.png,UIPanels,True,True,57bbfdb562466dc4fae25bf18a6a7fad,C0402CB7F0D94C52D0D2905DA3E828D41A9A78F8E0D82C4993C8004F7D966C6F,1,Assets/NTSD/Scene/NTSD_Battle.unity,False
Assets/NTSD/Sprite/UIPanels/BATTLEMODE.bmp,UIPanels,True,True,b6ba0b9efed73fb45b2cf3fe7ef98b9d,2EBC522E6D84FFBA65BF8F5CEC4D4F7AC0A0D65D0725A7714C09C1EC533E4AD3,0,,False
Assets/NTSD/Sprite/UIPanels/BATTLETROOPS.bmp,UIPanels,True,True,767bd66a4a938c34ebcac155e529831d,1D7529536490DCAE071C9D5A3A200804FD3624CD418EE2DD61C520A978AB22B9,0,,False
Assets/NTSD/Sprite/UIPanels/blue_Box.png,UIPanels,True,True,14aebecdc8768da41944028ed980aa34,6A79761FF361306B72C37BA3486E1133B3A4265DDF7EB795559D39505E9AEE6B,1,Assets/NTSD/Scene/NTSD_Menu.unity,False
